estado,unidade,poblacion,tamano,medios_total,medios_urbanos,medios_rurales,medios_plurales_1fuente,medios_plurales_2fuentes,categoria_definitiva
Amazonas,Alto Orinoco (La Esmeralda),14464,Localidad pequeña,3,2,2,,No aplica,Desierto
Amazonas,Atabapo,10711,Localidad pequeña,6,5,4,1,No aplica,Desierto
Amazonas,Atures (Puerto Ayacucho),132919,Localidad grande,9,9,6,2,No aplica,Desierto
Amazonas,Autana (Isla Ratón),10191,Localidad pequeña,4,2,4,1,No aplica,Desierto
Amazonas,Manapiare,9021,Localidad pequeña,0,0,0,,No aplica,Desierto
Amazonas,Maroa,2370,Localidad pequeña,2,1,2,,No aplica,Desierto
Amazonas,Río Negro,2635,Localidad pequeña,3,1,3,,No aplica,Desierto
Anzoátegui,Anaco,132647,Localidad grande,6,6,1,5,No aplica,Desierto
Anzoátegui,Aragua,31197,Localidad mediana,2,2,1,1,No aplica,Desierto
Anzoátegui,Bolívar (Barcelona),446053,Localidad grande,15,15,14,10,4,Semibosque
Anzoátegui,Bruzual (Clarines),32378,Localidad mediana,2,2,0,1,No aplica,Desierto
Anzoátegui,Cajigal (Onoto),14278,Localidad pequeña,2,1,1,2,No aplica,Desierto
Anzoátegui,Diego Bautista Urbaneja (Lechería),42122,Localidad mediana,13,13,8,8,3,Semibosque
Anzoátegui,Freites (Cantaura),75772,Localidad mediana,6,5,4,5,No aplica,Semidesierto
Anzoátegui,Guanipa (San José de Guanipa),73243,Localidad mediana,9,9,6,7,No aplica,Semidesierto
Anzoátegui,Guanta,34031,Localidad mediana,10,10,6,6,No aplica,Semidesierto
Anzoátegui,Independencia (Soledad),34351,Localidad mediana,6,6,2,5,No aplica,Semidesierto
Anzoátegui,Libertad (San Mateo),15884,Localidad pequeña,4,3,1,2,No aplica,Desierto
Anzoátegui,McGregor (El Chaparro),10541,Localidad pequeña,1,1,0,1,No aplica,Desierto
Anzoátegui,Monagas (San Diego de Cabrutica),17446,Localidad pequeña,5,4,4,5,No aplica,Semidesierto
Anzoátegui,Carvajal (Valle de Guanape),14439,Localidad pequeña,1,1,0,1,No aplica,Desierto
Anzoátegui,Peñalver (Puerto Píritu),39405,Localidad mediana,6,6,3,3,No aplica,Desierto
Anzoátegui,Píritu,25679,Localidad mediana,6,6,3,3,No aplica,Desierto
Anzoátegui,San Juan de Capistrano (Boca de Uchire),9609,Localidad pequeña,3,3,0,2,No aplica,Desierto
Anzoátegui,Santa Ana,10149,Localidad pequeña,2,2,1,2,No aplica,Desierto
Anzoátegui,Simón Rodriguez (El Tigre),196100,Localidad grande,11,11,8,7,No aplica,Semidesierto
Anzoátegui,Sotillo (Puerto La Cruz),270155,Localidad grande,14,14,13,9,3,Semibosque
Anzoátegui,Francisco de Miranda (Pariaguán),41459,Localidad mediana,5,4,3,5,No aplica,Semidesierto
Apure,Achaguas,72491,Localidad mediana,14,14,5,3,No aplica,Desierto
Apure,Biruaca,68904,Localidad mediana,17,17,7,4,No aplica,Desierto
Apure,Muñoz (Bruzual),32160,Localidad mediana,5,5,4,2,No aplica,Desierto
Apure,Páez (Guasdualito),117417,Localidad grande,12,11,9,7,No aplica,Semidesierto
Apure,Pedro Camejo (San Juan de Payara),37151,Localidad mediana,11,10,7,4,No aplica,Desierto
Apure,Rómulo Gallegos (Elorza),30901,Localidad mediana,13,13,7,5,No aplica,Semidesierto
Apure,San Fernando,208479,Localidad grande,19,19,8,6,No aplica,Semidesierto
Aragua,Bolívar (San Mateo),36593,Localidad mediana,9,9,2,5,No aplica,Semidesierto
Aragua,Camatagua,16934,Localidad pequeña,4,4,0,1,No aplica,Desierto
Aragua,Francisco Linares Alcántara (Santa Rita),123140,Localidad grande,18,18,10,11,6,Semibosque
Aragua,Girardot (Maracay),413704,Localidad grande,28,28,21,16,8,Semibosque
Aragua,José Ángel Lamas (Santa Cruz),31961,Localidad mediana,7,7,2,3,No aplica,Desierto
Aragua,José Félix Ribas (La Victoria),146102,Localidad grande,19,19,11,9,4,Semibosque
Aragua,José Rafael Revenga (El Consejo),49307,Localidad mediana,8,8,2,5,No aplica,Semidesierto
Aragua,Libertador (Palo Negro),113744,Localidad grande,20,20,8,10,6,Semibosque
Aragua,Mario Briceño Iragorry (El Limón),100928,Localidad grande,19,19,12,10,6,Semibosque
Aragua,Ocumare de la Costa,13180,Localidad pequeña,5,5,1,2,No aplica,Desierto
Aragua,San Casimiro,24827,Localidad pequeña,4,4,1,1,No aplica,Desierto
Aragua,San Sebastián,23147,Localidad pequeña,4,4,1,1,No aplica,Desierto
Aragua,Santiago Mariño (Turmero),214068,Localidad grande,29,29,20,16,8,Semibosque
Aragua,Santos Michelena (Las Tejerías),37848,Localidad mediana,8,8,2,4,No aplica,Desierto
Aragua,Sucre (Cagua),119605,Localidad grande,18,18,7,8,No aplica,Semidesierto
Aragua,Tovar (Colonia Tovar),14274,Localidad pequeña,4,4,0,1,No aplica,Desierto
