estado,unidade,poblacion,tamano,medios_total,medios_urbanos,medios_rurales,medios_plurales_1fuente,medios_plurales_2fuentes,categoria_definitiva,level_1_code,level_2_code
Amazonas,Alto Orinoco (La Esmeralda),14464,Localidad pequeña,3,2,2,,No aplica,Desierto,VE02,VE0201
Amazonas,Atabapo,10711,Localidad pequeña,6,5,4,1,No aplica,Desierto,VE02,VE0202
Amazonas,Atures (Puerto Ayacucho),132919,Localidad grande,9,9,6,2,No aplica,Desierto,VE02,VE0203
Amazonas,Autana (Isla Ratón),10191,Localidad pequeña,4,2,4,1,No aplica,Desierto,VE02,VE0204
Amazonas,Manapiare,9021,Localidad pequeña,0,0,0,,No aplica,Desierto,VE02,VE0206
Amazonas,Maroa,2370,Localidad pequeña,2,1,2,,No aplica,Desierto,VE02,VE0205
Amazonas,Río Negro,2635,Localidad pequeña,3,1,3,,No aplica,Desierto,VE02,VE0207
Anzoátegui,Anaco,132647,Localidad grande,6,6,1,5,No aplica,Desierto,VE03,VE0301
Anzoátegui,Aragua,31197,Localidad mediana,2,2,1,1,No aplica,Desierto,VE03,VE0302
Anzoátegui,Bolívar (Barcelona),446053,Localidad grande,15,15,14,10,4,Semibosque,VE03,VE0318
Anzoátegui,Bruzual (Clarines),32378,Localidad mediana,2,2,0,1,No aplica,Desierto,VE03,VE0312
Anzoátegui,Cajigal (Onoto),14278,Localidad pequeña,2,1,1,2,No aplica,Desierto,VE03,VE0309
Anzoátegui,Diego Bautista Urbaneja (Lechería),42122,Localidad mediana,13,13,8,8,3,Semibosque,VE03,VE0321
Anzoátegui,Freites (Cantaura),75772,Localidad mediana,6,5,4,5,No aplica,Semidesierto,VE03,VE0313
Anzoátegui,Guanipa (San José de Guanipa),73243,Localidad mediana,9,9,6,7,No aplica,Semidesierto,VE03,VE0315
Anzoátegui,Guanta,34031,Localidad mediana,10,10,6,6,No aplica,Semidesierto,VE03,VE0306
